simTime,realQueueLength,evaType,dnnPredictedTime,linearPredictedTime
3093.3588366724844,10,0,45.00822830200195,51.250003814697266
3150.3670649744863,9,0,46.5111198425293,52.187503814697266
3208.8781848170156,8,0,48.0026741027832,53.125003814697266
3268.880858919799,7,0,49.52208709716797,54.062503814697266
4169.358836672483,10,1,27.064661026000977,32.5
4208.423497698484,9,1,28.58856201171875,33.4375
4249.012059710203,8,1,30.093210220336914,34.375
4291.10526993054,7,1,31.565811157226562,35.3125
5245.3588366724825,10,1,27.064661026000977,32.5
5284.4234976984835,9,1,28.58856201171875,33.4375
5325.012059710202,8,1,30.093210220336914,34.375
5367.105269930539,8,1,30.093210220336914,34.375
5770.858836672481,8,1,30.093210220336914,34.375
5812.952046892818,7,1,31.565811157226562,35.3125
5856.517858050044,6,1,33.08320999145508,36.25
5901.601068041499,5,2,16.614681243896484,18.437496185302734
6846.858836672481,8,2,12.032393455505371,15.624996185302734
6870.891230127986,7,2,13.576306343078613,16.562496185302734
6896.467536471065,7,2,13.576306343078613,16.562496185302734
6924.891230127986,6,2,15.058804512023926,17.499996185302734
7742.858836672481,8,2,12.032393455505371,15.624996185302734
7766.891230127986,7,2,13.576306343078613,16.562496185302734
7792.467536471065,6,2,15.058804512023926,17.499996185302734
7820.891230127986,5,2,16.614681243896484,18.437496185302734
8686.85883667248,7,1,31.565811157226562,35.3125
8730.424647829706,7,1,31.565811157226562,35.3125
8773.990458986933,6,1,33.08320999145508,36.25
8819.073668978388,5,1,34.54460144042969,37.1875
